Date,GLD,MDY,QQQ,SPY,TLT,VBR,VTV
1/3/2005,43.02,97.24262533,34.63897347,86.53429387,51.8379396,40.44119403,34.68810748
1/4/2005,42.74,95.46409393,34.0084405,85.47689158,51.29467519,39.83485813,34.37467999
1/5/2005,42.67,94.205316,33.79797052,84.88704853,51.56922817,39.41183309,34.22116449
1/6/2005,42.15,94.6113734,33.62871758,85.31864029,51.60427749,39.27082474,34.39386943
1/7/2005,41.84,94.2215583,33.8067401,85.19635647,51.72110855,38.91830388,34.32350816
1/10/2005,41.95,94.94434047,33.78920094,85.59917468,51.80289028,39.19327015,34.32990464
1/11/2005,42.21,94.19719486,33.55154525,85.00933163,52.10665103,38.92535429,34.18918209
1/12/2005,42.6,94.52204077,33.83304885,85.28986674,52.17674966,38.93240471,34.25954337
1/13/2005,42.6,94.424587,33.38580015,84.60651414,52.67912321,38.77729553,34.00368419
1/14/2005,42.32,95.13924802,33.70150511,85.05248944,52.67328165,39.25672391,34.24035393
1/18/2005,42.32,95.95136281,33.955823,85.93725617,52.84852824,39.72205146,34.57936733
1/19/2005,42.26,95.02555194,33.39456973,85.03810518,53.00040861,39.32722808,34.36188704
1/20/2005,42.25,94.69258488,32.75439021,84.52019349,53.10555656,39.07341306,34.13161378
1/21/2005,42.74,94.15658912,32.49130274,84.00228179,53.16397209,38.99585847,33.9397194
1/24/2005,42.77,93.71804713,32.03528446,83.83684089,53.39179265,38.62218635,33.97809827
1/25/2005,42.24,94.00228731,32.19313694,84.07421243,52.88941911,38.70679135,34.02927011
1/26/2005,42.69,94.69258488,32.57899857,84.32597903,52.9887255,39.11571556,34.15080322
1/27/2005,42.62,95.04179424,32.53515065,84.46984103,52.88941911,39.18621974,34.13161378
1/28/2005,42.69,94.82252325,32.37729817,84.46984103,53.42100041,38.86190054,33.90134052
1/31/2005,42.22,95.91075707,32.79823813,84.99494809,53.57288078,39.60219436,34.32350816
2/1/2005,42.1,96.77159875,32.90347311,85.53443868,53.48794461,39.88421106,34.63597617
2/2/2005,42.16,97.21826189,32.95609061,85.79338914,53.61108063,40.03932024,34.80324411
2/3/2005,41.68,97.07208122,32.5825064,85.57040113,53.56417167,39.8630598,34.73927932
2/4/2005,41.47,98.22528423,33.10517351,86.48394142,54.32644231,40.47644611,35.04631032
2/7/2005,41.27,98.26588997,33.03852468,86.36884793,54.73103212,40.43414361,35.14865399
2/8/2005,41.26,98.46079752,33.09640393,86.46955212,55.04180399,40.52579904,35.14225751
2/9/2005,41.31,97.169535,32.54392024,85.82216269,55.1883945,40.06047149,35.03351737
2/10/2005,41.75,97.42941173,32.57899857,86.13147063,54.44371472,40.18032858,35.11027512
2/11/2005,42.08,98.56637244,33.0613256,86.87237033,54.408533,40.50464778,35.30856598
2/14/2005,42.55,98.56637244,33.20953154,86.80763362,54.57857799,40.45529486,35.37253077
2/15/2005,42.58,98.83437032,33.42964806,87.13132582,54.30298783,40.57515196,35.43009909
2/16/2005,42.52,99.00491443,33.3068739,87.18887292,54.09776112,40.82191657,35.50046036
2/17/2005,42.73,98.44455522,32.8596252,86.48394142,53.75767114,40.52579904,35.25099766
2/18/2005,42.75,98.29837456,32.75439021,86.59902987,53.27685428,40.37068985,35.23820471
2/22/2005,43.57,96.69038727,32.35098942,85.31144492,53.04230946,39.6162952,34.75846875
2/23/2005,43.42,97.34820025,32.39483734,85.92286688,53.21821807,39.77845479,34.99513849
2/24/2005,43.33,98.42831293,32.80700771,86.49113103,53.10094567,40.08162274,35.21261879
2/25/2005,43.5,99.64648512,32.99116894,87.34712421,53.35894496,40.68090822,35.68595826
2/28/2005,43.52,99.40285068,32.64038564,86.77166542,52.78431017,40.55400071,35.50046036
3/1/2005,43.22,99.9307253,32.99993852,87.20326221,52.76806794,40.89947116,35.64757938
3/2/2005,43.25,99.84951382,32.98239936,87.16009937,52.69748308,40.85716865,35.57721811
3/3/2005,42.97,99.9307253,32.7105423,87.19606756,52.66807272,40.92062241,35.68595826
3/4/2005,43.38,101.0839283,32.90347311,88.2822434,53.2386337,41.386655,36.02497166
3/7/2005,43.47,101.5143491,33.37703056,88.32540121,53.45038829,41.38594995,36.14010829
3/8/2005,44.03,100.8646573,33.04378643,87.99451437,52.9445301,41.28019369,35.94181743
3/9/2005,44.02,99.64648512,32.94732103,87.01623737,52.07986552,40.63860571,35.50685684
3/10/2005,44.2,99.68709086,32.90347311,87.21045182,52.3974974,40.46234528,35.55163219
3/11/2005,44.43,99.55715249,32.59653773,86.59902987,52.01516272,40.44824444,35.43009909
3/14/2005,44.03,100.3855096,32.74562063,87.13852046,52.32691254,40.74436197,35.61559699
3/15/2005,44.06,99.80890808,32.48253316,86.41919967,51.99751651,40.53989987,35.44928852
3/16/2005,44.31,99.15921624,32.10982591,85.68549533,52.3151484,40.28608485,35.12306808
3/17/2005,43.82,98.9155818,32.19313694,85.85813088,52.48572848,40.54695029,35.21261879
3/18/2005,43.892,98.13635766,32.01774529,85.60427538,52.15633245,40.27903443,35.20622231
3/21/2005,43.09,98.57573775,32.07913237,85.28652494,52.00928065,40.22827142,35.03991385
3/22/2005,42.65,98.04685431,31.68450116,84.41994161,51.56812525,39.96031799,34.62414269
3/23/2005,42.42,97.07859077,31.79850573,84.49215569,51.81517228,39.55838785,34.55378142
3/24/2005,42.39,97.63188422,31.80727532,84.59325669,51.92104957,39.78403284,34.51284395
3/28/2005,42.54,97.70511423,31.86866239,84.71602235,51.60341768,39.70646738,34.59002511
3/29/2005,42.56,96.71244069,31.6143445,84.15274203,51.90928543,39.01542958,34.29416398
3/30/2005,42.61,97.76207091,32.21067611,85.3442988,52.1680966,39.69941597,34.76368273
3/31/2005,42.82,97.96548762,32.07036279,85.18542394,52.5445492,39.67826175,34.89231801
4/1/2005,42.62,97.80275426,31.74588824,84.80268241,52.72101136,39.58659347,34.78297802
4/4/2005,42.4,97.8434376,31.97389738,84.94711128,52.70920375,39.75582722,34.81513684
4/5/2005,42.45,98.07940098,32.06159321,85.35152179,52.57341615,39.84044409,34.86015919
4/6/2005,42.63,98.22586101,32.00897571,85.64760253,52.75643422,39.93211237,35.02095328
4/7/2005,42.57,98.65710444,32.39483734,86.10978184,52.33135999,40.0089727,35.16888384
4/8/2005,42.69,97.51797086,32.13174986,85.21431086,52.51437806,39.6147991,34.91804506
4/11/2005,42.78,97.21691413,31.99143655,85.27930194,52.79776088,39.46671957,34.96306741
4/12/2005,42.84,97.59120088,32.14928903,85.71981732,53.287777,39.76287862,35.13029326
4/13/2005,42.9,96.37883728,31.62311409,84.70880441,53.1578932,39.40325692,34.71866039
4/14/2005,42.31,94.56436023,31.17586538,83.60390265,53.07523988,38.6840135,34.39064044
4/15/2005,42.4,93.53100334,30.46552921,82.43401488,53.77779311,38.06348977,33.82464523
4/18/2005,42.69,93.81578674,30.47429879,82.68676775,53.73646645,38.30323758,33.92755345
4/19/2005,43.28,95.25597704,30.68476877,83.34393185,54.25600162,38.78978459,34.36491338
4/20/2005,43.4,93.81578674,30.43395871,82.18126129,54.12021402,38.24682633,33.7603276
4/21/2005,43.23,95.33734373,31.27759254,83.77722351,53.57706362,38.82504162,34.31345927
4/22/2005,43.39,94.79218694,30.77246459,83.45947379,54.00213784,38.48657413,34.08834754
4/25/2005,43.44,95.82554383,31.02239769,84.00831316,54.16154068,38.83914443,34.55143453
4/26/2005,43.64,94.86541696,30.73738626,83.1922742,54.07888736,38.52888257,34.28130045
4/27/2005,43.2,94.83287029,30.78123418,83.51724764,54.26780923,38.52183116,34.32439327
4/28/2005,43,93.40081665,30.47429879,82.47011903,54.66926822,37.97182149,33.95971227
4/29/2005,43.35,94.32839685,30.67599919,83.58946172,54.57480728,37.68271384,34.33918633
5/2/2005,42.88,95.02815033,30.79877334,84.05886403,54.56299967,38.41606007,34.538571
5/3/2005,42.76,94.91423697,30.95662582,84.20329217,54.71112378,38.4442657,34.39064044
5/4/2005,42.9,95.68722047,31.33196395,84.85323328,54.23120165,38.94491552,34.93734035
5/5/2005,42.91,96.23237725,31.36002661,84.82434635,54.3556259,39.06478943,34.86659095
5/6/2005,42.52,96.42765729,31.44509156,84.55714677,53.95272831,39.18466333,34.82800037
5/9/2005,42.55,96.90772073,31.59680534,85.08432293,54.00605299,39.29043442,34.89231801
5/10/2005,42.64,96.37883728,31.36528836,84.20329217,54.39117569,39.10709786,34.62218393
5/11/2005,42.69,96.70430402,31.52664868,84.66547149,54.5570747,39.22697177,34.7508192
5/12/2005,42.16,95.41057374,31.43895286,83.73389059,54.77037343,38.50772835,34.31345927
5/13/2005,41.95,94.93864698,31.78096657,83.56779778,54.98367216,38.29618617,33.98543933
5/16/2005,41.88,96.12660056,31.99494438,84.34772682,54.91849755,38.90965849,34.29416398
5/17/2005,41.86,96.96467741,32.18436736,84.91100714,55.07254663,39.19171474,34.51284395
5/18/2005,42.05,98.57573775,32.62284648,85.78481418,55.43989444,39.80518706,34.95663564
5/19/2005,41.98,98.78729113,32.89645745,86.14589177,55.29769529,39.96031799,35.14958855
5/20/2005,41.65,98.83611114,33.02624727,86.02312683,55.3628699,39.96031799,35.09170268
5/23/2005,41.62,99.79623801,33.19286933,86.49974636,55.79539232,40.19301439,35.17531561
